category,institution,course-code,course-title
Mathematical Ways of Knowing,College of Eastern Idaho,MAT160,Brief Calculus
Mathematical Ways of Knowing,College of Eastern Idaho,MAT253,Elementary Statistics
Mathematical Ways of Knowing,College of Southern Idaho,MATH123,Math in Modern Society
Mathematical Ways of Knowing,College of Southern Idaho,MATH130,Finite Mathematics
Mathematical Ways of Knowing,College of Southern Idaho,MATH143,College Algebra
Mathematical Ways of Knowing,College of Southern Idaho,MATH147,Precalculus
Mathematical Ways of Knowing,College of Southern Idaho,MATH153,Elementary Statistics
Mathematical Ways of Knowing,College of Southern Idaho,MATH160,Brief Calculus
Mathematical Ways of Knowing,College of Southern Idaho,MATH170,Calculus 1
Mathematical Ways of Knowing,College of Western Idaho,FINA109,Personal Finance & Business Math
Mathematical Ways of Knowing,College of Western Idaho,MATH123,Math in Modern Society
Mathematical Ways of Knowing,College of Western Idaho,MATH123P,Math in Modern Society
Mathematical Ways of Knowing,College of Western Idaho,MATH130,Finite Math
Mathematical Ways of Knowing,College of Western Idaho,MATH143,College Algebra
Mathematical Ways of Knowing,College of Western Idaho,MATH143P,College Algebra
Mathematical Ways of Knowing,College of Western Idaho,MATH147,Precalculus
Mathematical Ways of Knowing,College of Western Idaho,MATH153,Elementary Statistics
Mathematical Ways of Knowing,College of Western Idaho,MATH153P,Elementary Statistics
Mathematical Ways of Knowing,College of Western Idaho,MATH160,Brief Calculus
Mathematical Ways of Knowing,College of Western Idaho,MATH170,Calculus 1
Mathematical Ways of Knowing,College of Western Idaho,MATH257,Math for Elementary Teachers 2
Mathematical Ways of Knowing,Idaho State University,MATH1123,Math in Modern Society
Mathematical Ways of Knowing,Idaho State University,MATH1127,The Language of Mathematics
Mathematical Ways of Knowing,Idaho State University,MATH1130,Finite Math
Mathematical Ways of Knowing,Idaho State University,MATH1153,Intro to Statistics
Mathematical Ways of Knowing,Idaho State University,MATH1160,Applied Calculus
Mathematical Ways of Knowing,Idaho State University,MATH1170,Calculus I
Mathematical Ways of Knowing,Idaho State University,MATH2256,Arithmetic for Teachers
Mathematical Ways of Knowing,Idaho State University,MATH2257,Math for Elementary Teachers 2
Mathematical Ways of Knowing,Idaho State University,MGT2216,Business Statistics
Mathematical Ways of Knowing,Idaho State University,RCET1372,Calc for Advanced Electronics
Mathematical Ways of Knowing,Idaho State University,TGE1140,Survey of Applied Math
Mathematical Ways of Knowing,Lewis-Clark State College,MATH123,Math as a Liberal Art
Mathematical Ways of Knowing,Lewis-Clark State College,MATH130,Finite Mathematics
Mathematical Ways of Knowing,Lewis-Clark State College,MATH147,Precalculus
Mathematical Ways of Knowing,Lewis-Clark State College,MATH147A,Precalculus Algebra
Mathematical Ways of Knowing,Lewis-Clark State College,MATH147B,Precalculus Trig
Mathematical Ways of Knowing,Lewis-Clark State College,MATH170,Calculus I
Mathematical Ways of Knowing,Lewis-Clark State College,MATH253,Statistical Methods
Mathematical Ways of Knowing,Lewis-Clark State College,MATH257,Math Elem Sch Teach II
Mathematical Ways of Knowing,Lewis-Clark State College,MTHPT130,Math for Business Analysis
Mathematical Ways of Knowing,Lewis-Clark State College,MTHPT137,Math for Technology
Mathematical Ways of Knowing,North Idaho College,MATH123,Contemporary Mathematics
Mathematical Ways of Knowing,North Idaho College,MATH130,Finite Mathematics
Mathematical Ways of Knowing,North Idaho College,MATH143,College Algebra
Mathematical Ways of Knowing,North Idaho College,MATH147,Pre-Calculus
Mathematical Ways of Knowing,North Idaho College,MATH160,Survey of Calculus
Mathematical Ways of Knowing,North Idaho College,MATH170,Analytic Geometry and Calculus I
Mathematical Ways of Knowing,North Idaho College,MATH253,Principles of Applied Statistics
Mathematical Ways of Knowing,University of Idaho,CS112,Computational Thinking
Mathematical Ways of Knowing,University of Idaho,MATH123,Math Applied/Modern World
Mathematical Ways of Knowing,University of Idaho,MATH130,Finite Math
Mathematical Ways of Knowing,University of Idaho,MATH143,Pre-calculus Alg/Analytic Geom
Mathematical Ways of Knowing,University of Idaho,MATH160,Survey of Calculus
Mathematical Ways of Knowing,University of Idaho,MATH170,Analytic Geometry/Calculus I
Mathematical Ways of Knowing,University of Idaho,MATH175,Analytic Geometry/Calculus II
Mathematical Ways of Knowing,University of Idaho,MATH275,Analytic Geometry/Calculus III
Mathematical Ways of Knowing,University of Idaho,STAT251,Statistical Methods
Scientific Ways of Knowing,Boise State University,ANTH101,Biological Anthropology
Scientific Ways of Knowing,Boise State University,ANTH101L,Biological Anthropology Lab
Scientific Ways of Knowing,Boise State University,ANTH103,Introduction to Archaeology
Scientific Ways of Knowing,Boise State University,ANTH105,Evolution and Human Behavior
Scientific Ways of Knowing,Boise State University,BIOL100,Concepts of Biology
Scientific Ways of Knowing,Boise State University,BIOL107,Introduction to Human Biology
Scientific Ways of Knowing,Boise State University,BIOL191,Biology I: Cell and Molecular
Scientific Ways of Knowing,Boise State University,BIOL227,Human Anatomy and Physiology I
Scientific Ways of Knowing,Boise State University,CHEM100,Concepts of Chemistry
Scientific Ways of Knowing,Boise State University,CHEM101,Essentials of Chemistry I
Scientific Ways of Knowing,Boise State University,CHEM101L,Essentials of Chemistry I Lab
Scientific Ways of Knowing,Boise State University,CHEM111,General Chemistry I
Scientific Ways of Knowing,Boise State University,CHEM111L,General Chemistry I Laboratory
Scientific Ways of Knowing,Boise State University,ENGR100,Energy for Society
Scientific Ways of Knowing,Boise State University,ENGR100L,Energy for Society Lab
Scientific Ways of Knowing,Boise State University,ENGR120,Introduction to Engineering
Scientific Ways of Knowing,Boise State University,ENGR130,Problem Solving with Computers
Scientific Ways of Knowing,Boise State University,ENVSTD121,Intro to Environmental Studies
Scientific Ways of Knowing,Boise State University,GEOS100,Fundamentals of Geology
Scientific Ways of Knowing,Boise State University,GEOS101,Global Environmental Science
Scientific Ways of Knowing,Boise State University,GEOS102,Historical Geology
Scientific Ways of Knowing,Boise State University,PHYS101,Intro to Physics
Scientific Ways of Knowing,Boise State University,PHYS104,Life in the Universe
Scientific Ways of Knowing,Boise State University,PHYS105,Stars and Cosmology
Scientific Ways of Knowing,Boise State University,PHYS111,General Physics I
Scientific Ways of Knowing,Boise State University,PHYS112,General Physics II
Scientific Ways of Knowing,Boise State University,PHYS211,Physics I with Calculus
Scientific Ways of Knowing,Boise State University,PHYS212,Physics II with Calculus
Scientific Ways of Knowing,Boise State University,PHYS212L,Physics II with Calculus Lab
Scientific Ways of Knowing,College of Eastern Idaho,BIO100,Concepts of Biology
Scientific Ways of Knowing,College of Eastern Idaho,BIO120,Environmental Science
Scientific Ways of Knowing,College of Eastern Idaho,BIO227,Human Anatomy & Physiology I
Scientific Ways of Knowing,College of Eastern Idaho,BIO227L,Human Anatomy & Physiology I Lab
Scientific Ways of Knowing,College of Eastern Idaho,BIO228,Human Anatomy & Physiology II
Scientific Ways of Knowing,College of Eastern Idaho,BIO228L,Human Anatomy & Physiology II Lab
Scientific Ways of Knowing,College of Eastern Idaho,BIO250,General Microbiology
Scientific Ways of Knowing,College of Eastern Idaho,BIO250L,General Microbiology Lab
Scientific Ways of Knowing,College of Eastern Idaho,CHE100,Chemistry in Everyday Life
Scientific Ways of Knowing,College of Eastern Idaho,CHE101,Essentials of General Chemistry
Scientific Ways of Knowing,College of Eastern Idaho,CHE101L,Essentials of General Chemistry Laboratory
Scientific Ways of Knowing,College of Eastern Idaho,GEO101,Physical Geology
Scientific Ways of Knowing,College of Eastern Idaho,GEO101L,Physical Geology Lab
Scientific Ways of Knowing,College of Eastern Idaho,PHY101,Introduction to Physics
Scientific Ways of Knowing,College of Eastern Idaho,PHY101L,Introduction to Physics Lab
Scientific Ways of Knowing,College of Eastern Idaho,PHY112,Physics 2
Scientific Ways of Knowing,College of Eastern Idaho,PHY112L,Physics 2 Lab
Scientific Ways of Knowing,College of Southern Idaho,AGRI180,Food Systems Science
Scientific Ways of Knowing,College of Southern Idaho,ALLH220,Fundamentals of Nutrition
Scientific Ways of Knowing,College of Southern Idaho,BIOL100,Concepts of Biology
Scientific Ways of Knowing,College of Southern Idaho,BIOL120,Environmental Science
Scientific Ways of Knowing,College of Southern Idaho,BIOL201,Biology 1
Scientific Ways of Knowing,College of Southern Idaho,BIOL221,Introductory Microbiology
Scientific Ways of Knowing,College of Southern Idaho,BIOL227,Human Anatomy & Physiology 1
Scientific Ways of Knowing,College of Southern Idaho,BIOL228,Human Anatomy & Physiology 2
Scientific Ways of Knowing,College of Southern Idaho,CHEM100,Chemistry in Everday Life
Scientific Ways of Knowing,College of Southern Idaho,CHEM101,Introduction to Chemistry
Scientific Ways of Knowing,College of Southern Idaho,CHEM102,Essentials of Organic & Biochem
Scientific Ways of Knowing,College of Southern Idaho,CHEM111,Principles of Chemistry 1
Scientific Ways of Knowing,College of Southern Idaho,GEOG100,Physical Geography
Scientific Ways of Knowing,College of Southern Idaho,GEOL101,Physical Geology
Scientific Ways of Knowing,College of Southern Idaho,GEOL102,Historical Geology
Scientific Ways of Knowing,College of Southern Idaho,GEOL104,Natural Disasters and Env Geology
Scientific Ways of Knowing,College of Southern Idaho,PHYS100,Survey of Physics
Scientific Ways of Knowing,College of Southern Idaho,PHYS101,Survey of Astronomy
Scientific Ways of Knowing,College of Southern Idaho,PHYS111,General Physics 1
Scientific Ways of Knowing,College of Southern Idaho,PHYS112,General Physics 2
Scientific Ways of Knowing,College of Southern Idaho,PHYS211,Physics Scientists & Engineers 1
Scientific Ways of Knowing,College of Western Idaho,AGRI109,Principles of Animal Science
Scientific Ways of Knowing,College of Western Idaho,AGRI109L,Principles of Animal Science Lab
Scientific Ways of Knowing,College of Western Idaho,ALLH220,Fundamentals of Nutrition
Scientific Ways of Knowing,College of Western Idaho,ANAT100,Human Structure and Function
Scientific Ways of Knowing,College of Western Idaho,ANAT100L,Human Structure and Function Lab
Scientific Ways of Knowing,College of Western Idaho,ANAT211,Human Anatomy and Physiology 1
Scientific Ways of Knowing,College of Western Idaho,ANAT211L,Human Anatomy and Physiology 1 Lab
Scientific Ways of Knowing,College of Western Idaho,BIOL100,Concepts of Biology
Scientific Ways of Knowing,College of Western Idaho,BIOL100L,Concepts of Biology Lab
Scientific Ways of Knowing,College of Western Idaho,BIOL105,Human Structure and Function
Scientific Ways of Knowing,College of Western Idaho,BIOL105L,Human Structure and Function Laboratory
Scientific Ways of Knowing,College of Western Idaho,BIOL111,Biology 1
Scientific Ways of Knowing,College of Western Idaho,BIOL111L,Biology 1 Lab
Scientific Ways of Knowing,College of Western Idaho,BIOL120,Environmental Science
Scientific Ways of Knowing,College of Western Idaho,BIOL120L,Environmental Science Lab
Scientific Ways of Knowing,College of Western Idaho,BIOL201,Biology 1
Scientific Ways of Knowing,College of Western Idaho,BIOL201L,Biology 1 Laboratory
Scientific Ways of Knowing,College of Western Idaho,BIOL221,Introductory Microbiology
Scientific Ways of Knowing,College of Western Idaho,BIOL221L,Introductory Microbiology Lab
Scientific Ways of Knowing,College of Western Idaho,BIOL227,Human Anatomy and Physiology 1
Scientific Ways of Knowing,College of Western Idaho,BIOL227L,Human Anat and Physiology 1 Lab
Scientific Ways of Knowing,College of Western Idaho,CHEM100,Chemistry in Everyday Life
Scientific Ways of Knowing,College of Western Idaho,CHEM100L,Chemistry in Everyday Life Lab
Scientific Ways of Knowing,College of Western Idaho,CHEM101,Introduction to Chemistry
Scientific Ways of Knowing,College of Western Idaho,CHEM101L,Introduction to Chemistry Lab
Scientific Ways of Knowing,College of Western Idaho,CHEM102,Essentials of Organic and Biochemistry
Scientific Ways of Knowing,College of Western Idaho,CHEM102L,Essentials of Organic & Biochemistry Lab
Scientific Ways of Knowing,College of Western Idaho,CHEM111,Principles of Chemistry 1
Scientific Ways of Knowing,College of Western Idaho,CHEM111L,Principles of Chemistry 1 Lab
Scientific Ways of Knowing,College of Western Idaho,ENVI100,Environmental Science
Scientific Ways of Knowing,College of Western Idaho,ENVI100L,Environmental Science Lab
Scientific Ways of Knowing,College of Western Idaho,GEOG100,Physical Geography
Scientific Ways of Knowing,College of Western Idaho,GEOG100L,Physical Geography Laboratory
Scientific Ways of Knowing,College of Western Idaho,GEOG270,Global Climate Change
Scientific Ways of Knowing,College of Western Idaho,GEOL101,Physical Geology
Scientific Ways of Knowing,College of Western Idaho,GEOL101L,Physical Geology Lab
Scientific Ways of Knowing,College of Western Idaho,GEOL102,Historical Geology
Scientific Ways of Knowing,College of Western Idaho,GEOL102L,Historical Geology Lab
Scientific Ways of Knowing,College of Western Idaho,GEOL104,Natural Disasters & Environmentl Geology
Scientific Ways of Knowing,College of Western Idaho,GEOL104L,Natural Disastrs & Envrnmtnl Geology Lab
Scientific Ways of Knowing,College of Western Idaho,GEOL105,Earth's Natural Resources
Scientific Ways of Knowing,College of Western Idaho,HLTH220,Fundamentals of Nutrition
Scientific Ways of Knowing,College of Western Idaho,MMBS111,Introductory Microbiology
Scientific Ways of Knowing,College of Western Idaho,MMBS111L,Introductory Microbiology Lab
Scientific Ways of Knowing,College of Western Idaho,PHYS100,Survey of Physics
Scientific Ways of Knowing,College of Western Idaho,PHYS100L,Survey of Physics Lab
Scientific Ways of Knowing,College of Western Idaho,PHYS101,Survey of Astronomy
Scientific Ways of Knowing,College of Western Idaho,PHYS101L,Survey of Astronomy Lab
Scientific Ways of Knowing,College of Western Idaho,PHYS111,General Physics 1
Scientific Ways of Knowing,College of Western Idaho,PHYS111L,General Physics 1 Lab
Scientific Ways of Knowing,College of Western Idaho,PHYS211,Physics for Scientists and Engineers 1
Scientific Ways of Knowing,College of Western Idaho,PHYS211L,Physics for Scientists & Engineers 1 Lab
Scientific Ways of Knowing,College of Western Idaho,SCIE101,Foundations of Science
Scientific Ways of Knowing,Idaho State University,BIOL1100,Concepts Biol Human Concerns
Scientific Ways of Knowing,Idaho State University,BIOL1100L,Concepts Biol Human Conc Lab
Scientific Ways of Knowing,Idaho State University,BIOL1101,Biology I
Scientific Ways of Knowing,Idaho State University,BIOL1101L,Biology I Lab
Scientific Ways of Knowing,Idaho State University,CHEM1100,Architecture of Matter
Scientific Ways of Knowing,Idaho State University,CHEM1101,Intro to General Chemistry
Scientific Ways of Knowing,Idaho State University,CHEM1102,Intro to Org and BioChem
Scientific Ways of Knowing,Idaho State University,CHEM1103,Intro Gen Org BioChem Lab
Scientific Ways of Knowing,Idaho State University,CHEM1111,General Chemistry I
Scientific Ways of Knowing,Idaho State University,CHEM1111L,General Chemistry I Lab
Scientific Ways of Knowing,Idaho State University,CHEM1112,General Chemistry II
Scientific Ways of Knowing,Idaho State University,CHEM1112L,General Chemistry II Lab
Scientific Ways of Knowing,Idaho State University,GEOL1100,The Dynamic Earth
Scientific Ways of Knowing,Idaho State University,GEOL1100L,The Dynamic Earth Lab
Scientific Ways of Knowing,Idaho State University,GEOL1101,Physical Geology
Scientific Ways of Knowing,Idaho State University,GEOL1101L,Physical Geology Lab
Scientific Ways of Knowing,Idaho State University,GEOL1110,Physical Geol Scientists Lab
Scientific Ways of Knowing,Idaho State University,NTD2239,Nutrition
Scientific Ways of Knowing,Idaho State University,PHYS1100,Essentials of Physics
Scientific Ways of Knowing,Idaho State University,PHYS1101,Elements of Physics
Scientific Ways of Knowing,Idaho State University,PHYS1101L,Elements of Physics I Lab
Scientific Ways of Knowing,Idaho State University,PHYS1111,General Physics
Scientific Ways of Knowing,Idaho State University,PHYS1112,General Physics II
Scientific Ways of Knowing,Idaho State University,PHYS1113,General Physics I Lab
Scientific Ways of Knowing,Idaho State University,PHYS1114,General Physics II Lab
Scientific Ways of Knowing,Idaho State University,PHYS1152,Descriptive Astronomy
Scientific Ways of Knowing,Idaho State University,PHYS1153,Descriptive Astronomy Lab
Scientific Ways of Knowing,Idaho State University,PHYS2211,Engineering Physics
Scientific Ways of Knowing,Idaho State University,PHYS2212,Engineering Physics
Scientific Ways of Knowing,Idaho State University,PHYS2213,Engineering Physics I Lab
Scientific Ways of Knowing,Idaho State University,PHYS2214,Engineering Physics II Lab
Scientific Ways of Knowing,Lewis-Clark State College,BIOL102,Science for Life
Scientific Ways of Knowing,Lewis-Clark State College,BIOL120,Plants and People
Scientific Ways of Knowing,Lewis-Clark State College,BIOL175,Human Biology
Scientific Ways of Knowing,Lewis-Clark State College,BIOL252,Anatomy/Physiology I
Scientific Ways of Knowing,Lewis-Clark State College,CHEM102,Chemistry of Daily Life
Scientific Ways of Knowing,Lewis-Clark State College,CHEM105,Gen Organic/Biochemistry
Scientific Ways of Knowing,Lewis-Clark State College,CHEM111,Prin/Chemistry I
Scientific Ways of Knowing,Lewis-Clark State College,CS108,Introduction to Computer Science
Scientific Ways of Knowing,Lewis-Clark State College,FSCI101,Introduction to Forensic Science
Scientific Ways of Knowing,Lewis-Clark State College,GEOL100,Environmtl Earth Sci
Scientific Ways of Knowing,Lewis-Clark State College,GEOL120,Intro Earth Systems
Scientific Ways of Knowing,Lewis-Clark State College,GIS271,Intro/Geog Info Sci
Scientific Ways of Knowing,Lewis-Clark State College,NS150,Intro/Natural Sciences
Scientific Ways of Knowing,Lewis-Clark State College,NS174,Natural Science for Elementary Educators
Scientific Ways of Knowing,Lewis-Clark State College,PHYS111,General Physics I
Scientific Ways of Knowing,Lewis-Clark State College,PHYS171,Physical Science for Elementary Educators
Scientific Ways of Knowing,Lewis-Clark State College,PHYS205,Descriptive Astronomy
Scientific Ways of Knowing,Lewis-Clark State College,PHYS211,Engineering Physics I
Scientific Ways of Knowing,North Idaho College,BIOL100,Fundamentals of Biology
Scientific Ways of Knowing,North Idaho College,BIOL115,Introduction to Life Sciences
Scientific Ways of Knowing,North Idaho College,BIOL175,Human Biology
Scientific Ways of Knowing,North Idaho College,BIOL202,General Zoology
Scientific Ways of Knowing,North Idaho College,BIOL203,General Botany
Scientific Ways of Knowing,North Idaho College,BIOL227,Human Anatomy & Physiology I with Cadaver
Scientific Ways of Knowing,North Idaho College,BIOL241,Systematic Botany
Scientific Ways of Knowing,North Idaho College,BIOL250,General Microbiology
Scientific Ways of Knowing,North Idaho College,CHEM100,Concepts of Chemistry I
Scientific Ways of Knowing,North Idaho College,CHEM101,Introduction to Essentials of General Chemistry I
Scientific Ways of Knowing,North Idaho College,CHEM111,Principles of General College Chemistry I
Scientific Ways of Knowing,North Idaho College,CHEM112,Principles of General College Chemistry II
Scientific Ways of Knowing,North Idaho College,ENSI119,Introduction to Environmental Science
Scientific Ways of Knowing,North Idaho College,GEOG100,Physical Geography
Scientific Ways of Knowing,North Idaho College,GEOL101,Physical Geology
Scientific Ways of Knowing,North Idaho College,GEOL102,Historical Geology
Scientific Ways of Knowing,North Idaho College,GEOL123,Geology of Idaho and the Pacific Northwest
Scientific Ways of Knowing,North Idaho College,PHYS101,Fundamentals of Physical Science
Scientific Ways of Knowing,North Idaho College,PHYS103,Elementary Astronomy
Scientific Ways of Knowing,North Idaho College,PHYS111,General Physics I
Scientific Ways of Knowing,University of Idaho,BIOL102,Biology and Society
Scientific Ways of Knowing,University of Idaho,BIOL102L,Biology and Society Lab
Scientific Ways of Knowing,University of Idaho,BIOL114,Organisms and Environments
Scientific Ways of Knowing,University of Idaho,BIOL115,Cells & the Evolution of Life
Scientific Ways of Knowing,University of Idaho,BIOL115L,Cells & Evol of Life Lab
Scientific Ways of Knowing,University of Idaho,BIOL154,Introductory Microbiology
Scientific Ways of Knowing,University of Idaho,BIOL155,Introductory Microbiology Lab
Scientific Ways of Knowing,University of Idaho,BIOL250,General Microbiology
Scientific Ways of Knowing,University of Idaho,BIOL255,General Microbiology Lab
Scientific Ways of Knowing,University of Idaho,CHEM101,Introduction to Chemistry I
Scientific Ways of Knowing,University of Idaho,CHEM111,Principles of Chemistry I
Scientific Ways of Knowing,University of Idaho,CHEM112,Principles of Chemistry II
Scientific Ways of Knowing,University of Idaho,CORS215,Integ Sc:Color/Chem & Art
Scientific Ways of Knowing,University of Idaho,CORS217,Integ Sc:Explor Solar System
Scientific Ways of Knowing,University of Idaho,CORS219,Integ Sci:Human Nature
Scientific Ways of Knowing,University of Idaho,CORS221,Integ Sci:Physics/Evrydy Life
Scientific Ways of Knowing,University of Idaho,CORS227,Integ Sci:Ocean: Human Interac
Scientific Ways of Knowing,University of Idaho,CORS228,Integ Sci:Ntl Hazards/Disastrs
Scientific Ways of Knowing,University of Idaho,CORS229,Integ Sci:Nature of Islands
Scientific Ways of Knowing,University of Idaho,CORS230,Integ Sci:Explor in Conv Biol
Scientific Ways of Knowing,University of Idaho,CORS231,Integ Sci:Fish/Wlf Change Wrld
Scientific Ways of Knowing,University of Idaho,CORS232,Science on Your Plate
Scientific Ways of Knowing,University of Idaho,CORS233,How Humans Use Insects
Scientific Ways of Knowing,University of Idaho,CORS234,Eng and Tech in the Mod World
Scientific Ways of Knowing,University of Idaho,CORS235,Fire on Earth
Scientific Ways of Knowing,University of Idaho,ENVS101,Intro Environmntl Sci
Scientific Ways of Knowing,University of Idaho,ENVS102,Fld Activ/Environmtl Sci
Scientific Ways of Knowing,University of Idaho,GEOG100,Physical Geography
Scientific Ways of Knowing,University of Idaho,GEOG100L,Physical Geography Lab
Scientific Ways of Knowing,University of Idaho,GEOL101,Physical Geology
Scientific Ways of Knowing,University of Idaho,GEOL101L,Physical Geology Lab
Scientific Ways of Knowing,University of Idaho,GEOL102,Historical Geology
Scientific Ways of Knowing,University of Idaho,GEOL102L,Historical Geology Lab
Scientific Ways of Knowing,University of Idaho,PHYS100,Fundamentals of Physics
Scientific Ways of Knowing,University of Idaho,PHYS100L,Fundamentals of Physics Lab
